Department Name,order_lines,otif_rate_pct,on_time_rate_pct,in_full_rate_pct,defect_rate_pct,lead_time_mean_deviation_days,lead_time_std_days,price_variance_pct,total_units
Apparel,48998.0,40.938405649210175,42.836442303767505,95.68553818523206,4.31446181476795,0.5719417119066085,1.4921041040911984,0.0,98181.0
Book Shop,405.0,40.0,42.46913580246914,96.54320987654322,3.45679012345679,0.5333333333333333,1.4288042138380896,0.0,405.0
Discs Shop,2026.0,41.46100691016782,43.28726554787759,95.90325765054294,4.096742349457058,0.5493583415597236,1.4902718710611909,0.0,2026.0
Fan Shop,66861.0,40.99549812297153,42.80372713540031,95.770329489538,4.229670510462003,0.559982650573578,1.4883457642868487,0.0,106165.0
Fitness,2479.0,40.217829770068576,42.19443323920936,95.76442113755547,4.235578862444534,0.5841064945542558,1.5030175102431087,0.0,6227.0
Footwear,14525.0,40.908777969018935,42.774526678141136,95.63511187607573,4.364888123924268,0.5606884681583477,1.485205366985236,0.0,43400.0
Golf,33220.0,40.84888621312462,42.6580373269115,95.62913907284768,4.370860927152318,0.5656833232992173,1.4925026256440952,0.0,99297.0
Health and Beauty ,362.0,39.77900552486188,41.43646408839779,95.58011049723757,4.41988950276243,0.5331491712707183,1.4182143955236755,0.0,362.0
Outdoors,9686.0,40.181705554408424,42.143299607681186,95.67416890357217,4.325831096427834,0.574127606855255,1.5066881105214631,0.0,26059.0
Pet Shop,492.0,36.99186991869919,38.61788617886179,95.9349593495935,4.0650406504065035,0.709349593495935,1.4337943519340723,0.0,492.0
Technology,1465.0,40.27303754266212,41.63822525597269,95.2901023890785,4.709897610921502,0.5856655290102389,1.5188236367876926,0.0,1465.0
